Prompt,TopK,Exact Match,F1
baseline,1,41.50326797385621,49.2708018360722
baseline,3,36.16557734204793,44.73108388200581
baseline,5,21.0239651416122,27.762159509785654
verification,1,43.4640522875817,51.04133615551245
verification,3,40.19607843137255,48.90689949307576
verification,5,25.925925925925927,32.50424648952852
