Embedding,TopK,Exact Match,F1
MiniLM-L6 (384d),3,45.0,49.22081030681434
MiniLM-L6 (384d),5,33.0,35.884176743336106
MiniLM-L6 (384d),10,3.0,5.441743411386653
MiniLM-L3 (256d),3,35.0,38.61979199922645
MiniLM-L3 (256d),5,13.0,15.22213593222668
MiniLM-L3 (256d),10,4.0,6.0271081919357785
